BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum;Biaya;Source
0;0;0;0;0;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;0.18;1.81;62.61;1.96;3.33;172637;PGE
0;0;0;0;0;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;0.2;1.88;70.06;1.96;3.33;12818;PGE
0;0;0;0;0;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;0.22;1.94;70.55;1.96;3.33;11952;PGE
0;0;0;0;0;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.35;0.24;2.19;70.69;1.96;3.85;13906;PGE
0;0;0;0;0;1.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.46;0.27;2.72;74.47;1.96;3.97;37008;PGE
0;0;0.12;0;0;3.37;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.05;0.45;3.84;197.44;1.96;6.36;102150;PGE
0;0;0.12;0;0;3.59;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.05;0.47;4.32;202.53;4.36;6.36;17929;PGE
0;0;0.12;0;0;3.7;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.05;0.48;4.41;205.15;4.36;6.36;7965;PGE
0;0;0.12;0;0;5.94;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.49;1.02;7.51;233.29;4.36;7.35;172637;PGE
0;0;0.12;0;0;5.94;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.7;1.04;8.53;236.32;4.36;7.84;13906;PGE
0;0;0.13;0;0;6.15;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.79;1.06;8.83;238.49;4.36;7.84;9096;PGE
0;0;0.13;0;0;6.36;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.88;1.08;9.08;240.66;4.36;7.84;9096;PGE
0;0;0.14;0;0;6.57;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;2.97;1.1;9.38;242.83;4.36;7.84;9096;PGE
0;0;0.14;0;0;7.4;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.15;1.28;10.97;297.31;4.36;7.84;61121;PGE
0;0;0.14;0;0;7.4;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.15;1.34;11.28;299.69;4.36;7.84;10625;PGE
0;0;0.14;0;0;7.4;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.15;1.4;11.59;353.73;4.36;7.84;10625;PGE
0;0;0.14;0;0;9.1;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;1.59;13.09;380.05;4.36;8.82;147229;PGE
0;0;0.14;0;0;9.1;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;1.65;13.09;382.67;4.36;8.82;8364;PGE
0;0;0.14;0;0;9.1;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;1.66;13.09;386.85;4.36;8.82;8282;PGE
0;0;0.14;0;0;9.1;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.57;1.68;13.32;386.99;4.36;9.35;16078;PGE
0;0;0.14;0;0;9.1;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.74;1.7;13.57;387.31;4.36;9.88;16078;PGE
0;0;0.14;0;0;9.1;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;3.92;1.7;13.82;387.31;4.36;10.16;9617;PGE
0;0;0.14;0;0;9.72;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;4.05;1.77;14.39;391.71;6.47;10.43;34711;PGE
0;0;0.14;0;0;9.72;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;4.27;1.77;14.73;395.52;6.47;10.79;12023;PGE
0;0;0.14;0;0;9.72;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;4.49;1.77;15.07;399.33;6.47;11.15;13402;PGE
0;0;0.14;0;0;9.92;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;4.53;1.79;15.31;405.62;6.47;11.15;21843;PGE
0;0;0.14;0;0;11.02;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;5.18;1.93;18.22;433.59;6.47;12.35;147299;PGE
0;0;0.14;0;0;11.02;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;5.39;1.95;19.26;436.62;6.47;12.87;16078;PGE
0;0;0.14;0;0;11.42;0;0;0;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;5.92;1.99;22.39;444.86;6.47;14.01;65743;PGE
0;0;0.14;0;0;11.85;0;0;0;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;6.54;2.14;24.85;550.93;6.47;15.65;83192;PGE
0;0;0.14;0;0;11.85;0;0;0;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;6.54;2.2;25.16;553.31;6.47;15.65;10750;PGE
0;0;0.14;0;0;11.85;0;0;0;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;6.54;2.26;25.47;608.21;6.47;15.65;10750;PGE
0;0;0.14;0;0;13.63;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;7.01;2.46;27.28;665.76;6.47;16.84;145775;PGE
0;0;0.14;0;0;13.63;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;7.02;2.46;27.28;668.46;6.47;16.87;8364;PGE
0;0;0.14;0;0;13.63;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;7.03;2.46;27.28;672.64;6.47;16.9;8553;PGE
0;0;0.14;0;0;13.63;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;7.2;2.48;27.57;672.78;6.47;17.5;16078;PGE
0;0;0.14;0;0;13.83;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4;2.52;28;679.3;7.21;17.97;24208;PGE
0;0;0.14;0;0;13.83;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;7.42;2.52;28;679.3;7.21;18.13;7832;PGE
0;0;0.14;0;0;13.83;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;7.54;2.56;28.51;689.33;7.21;18.34;9676;PGE
0;0;0.14;0;0;14.28;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;7.64;2.64;28.95;834.67;7.21;18.34;48802;PGE
0;0;0.14;0;0;14.96;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.19;2.82;31.42;944.29;7.21;18.94;70421;PGE
0;0;0.14;0;0;14.96;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.19;2.84;31.49;953.46;7.21;18.94;9354;PGE
0;0;0.14;0;0;15.87;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.47;2.98;32.33;991.08;7.21;20.12;145775;PGE
0;0;0.14;0;0;15.87;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.68;3;33.46;994.2;7.21;20.72;16078;PGE
0;0;0.14;0;0;15.87;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.68;3.06;33.77;996.58;7.21;20.72;11250;PGE
0;0;0.14;0;0;15.87;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.68;3.12;34.08;1057.29;7.21;20.72;11250;PGE
0.17;0;0.14;0;0;16.07;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.68;3.14;34.14;1060.89;7.21;20.72;10000;PGE
0.42;0;0.14;0;0;16.27;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.68;3.16;34.2;1067.88;7.21;20.72;10000;PGE
0.42;0;0.14;0;0;17.55;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.91;3.3;35.22;1116.62;7.21;21.69;122436;PGE
0.42;0;0.14;0;0;17.55;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;8.91;3.31;35.22;1121.27;7.21;21.69;8621;PGE
0.42;0;0.14;0;0;17.55;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;9.08;3.33;35.51;1121.41;7.21;22.22;16421;PGE
0.42;0;0.14;0;0;17.55;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;9.33;3.33;35.85;1128.47;7.21;22.76;35668;PGE
0.42;0;0.14;0;0;17.55;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;9.33;3.34;35.85;1131.17;7.21;22.76;8536;PGE
0.42;0;0.14;0;0;18.2;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;9.74;3.41;36.63;1172;7.21;24.11;122436;PGE
0.42;0;0.14;0;0;18.2;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;9.95;3.43;37.76;1175.12;7.21;24.63;16421;PGE
0.42;0;0.14;0;0;18.29;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;9.95;3.44;37.83;1176.98;7.21;24.63;4721;PGE
0.42;0;0.14;0;0;18.29;0;0;0.23;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;10.12;3.47;38.12;1189.55;7.21;25.05;27313;PGE
0.42;0;0.14;0;0;18.67;0;0;0.49;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;10.12;3.53;38.51;1190.54;7.21;25.05;4568;PGE
0.42;0;0.14;0;0;18.67;0;0;0.49;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;10.12;3.59;38.82;1192.92;7.21;25.05;10625;PGE
0.42;0;0.14;0;0;18.67;0;0;0.49;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;10.12;3.65;39.13;1258.89;7.21;25.05;10625;PGE
0.42;0;0.14;0;0;21.14;0;0;0.49;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;11.01;3.84;41.57;1303.99;7.21;26.45;186267;PGE
0.42;0;0.14;0;0;21.14;0;0;0.49;0.06;0;0.77;0;0;0;0;0;0;0;0.95;0;0;0;0;0;11.01;3.9;41.57;1306.69;7.21;26.45;8675;PGE
